timestamp_iso,timestamp_unix,elapsed_sec,frame_type,has_acc,has_gyro,has_angle,acc_x_g,acc_y_g,acc_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps,roll_deg,pitch_deg,yaw_deg
2021-03-27 01:57:41,1616810261.895135,0.025011,angle,1,1,1,-0.152832,0.125000,1.134277,-1.281738,0.183105,-0.915527,0.802002,16.430054,-37.908325
2021-03-27 01:57:41,1616810261.916019,0.045908,angle,1,1,1,-0.199707,0.088379,0.936035,-2.380371,-0.305176,0.671387,0.730591,16.517944,-37.913818
2021-03-27 01:57:41,1616810261.934756,0.064654,angle,1,1,1,-0.209473,0.064941,0.920410,-0.732422,2.441406,1.159668,0.642700,16.611328,-38.007202
2021-03-27 01:57:41,1616810261.955527,0.085427,angle,1,1,1,-0.233398,-0.126465,0.982910,-2.624512,2.746582,-1.403809,0.576782,16.688232,-38.073120
2021-03-27 01:57:41,1616810261.974225,0.104124,angle,1,1,1,-0.193848,0.001953,0.918457,-0.732422,4.028320,1.708984,0.532837,16.776123,-38.117065
2021-03-27 01:57:41,1616810261.994991,0.124891,angle,1,1,1,-0.065918,0.146484,1.081543,-2.929688,2.441406,-0.427246,0.439453,16.842041,-38.193970
2021-03-27 01:57:42,1616810262.015757,0.145657,angle,1,1,1,-0.115723,0.065430,0.986816,-1.708984,1.037598,0.061035,0.390015,16.896973,-38.259888
2021-03-27 01:57:42,1616810262.034456,0.164356,angle,1,1,1,-0.145996,0.155762,1.140137,-2.136230,-0.732422,-0.610352,0.280151,16.929932,-38.386230
2021-03-27 01:57:42,1616810262.055221,0.185121,angle,1,1,1,-0.229980,0.052734,0.957031,-1.831055,-1.159668,0.427246,0.219727,16.984863,-38.463135
2021-03-27 01:57:42,1616810262.075985,0.205884,angle,1,1,1,-0.212891,-0.019531,0.930176,-1.831055,-0.183105,0.915527,0.087891,17.017822,-38.567505
2021-03-27 01:57:42,1616810262.094683,0.224582,angle,1,1,1,-0.231445,-0.031738,0.944824,-4.760742,1.586914,-1.403809,-0.038452,17.061768,-38.693848
2021-03-27 01:57:42,1616810262.115448,0.245348,angle,1,1,1,-0.221680,-0.172852,0.955078,-2.441406,3.662109,0.000000,-0.164795,17.094727,-38.754272
2021-03-27 01:57:42,1616810262.134132,0.264032,angle,1,1,1,-0.142090,0.177734,1.067383,-4.760742,2.075195,0.732422,-0.324097,17.127686,-38.853149
2021-03-27 01:57:42,1616810262.154897,0.284797,angle,1,1,1,-0.074707,0.005371,1.014648,-2.197266,1.159668,-0.793457,-0.406494,17.144165,-38.941040
2021-03-27 01:57:42,1616810262.175663,0.305562,angle,1,1,1,-0.097168,0.169434,1.013672,-2.563477,-1.586914,1.708984,-0.488892,17.149658,-38.984985
2021-03-27 01:57:42,1616810262.194360,0.324259,angle,1,1,1,-0.210449,0.073730,1.055664,1.098633,-2.136230,-0.305176,-0.499878,17.155151,-39.067383
2021-03-27 01:57:42,1616810262.215127,0.345026,angle,1,1,1,-0.211426,-0.002441,0.957031,-0.183105,-1.953125,1.159668,-0.527344,17.149658,-39.083862
2021-03-27 01:57:42,1616810262.233824,0.363723,angle,1,1,1,-0.208008,0.042480,0.854492,0.854492,1.037598,1.831055,-0.505371,17.193604,-39.160767
2021-03-27 01:57:42,1616810262.254590,0.384489,angle,1,1,1,-0.263672,-0.210449,0.968750,-0.732422,2.136230,-0.976562,-0.499878,17.210083,-39.155273
2021-03-27 01:57:42,1616810262.275376,0.405276,angle,1,1,1,-0.223633,-0.012695,0.885742,2.014160,3.417969,2.319336,-0.444946,17.248535,-39.116821
2021-03-27 01:57:42,1616810262.294074,0.423973,angle,1,1,1,-0.067383,0.208984,1.107422,-0.854492,2.197266,1.586914,-0.439453,17.281494,-39.067383
2021-03-27 01:57:42,1616810262.314837,0.444737,angle,1,1,1,-0.107422,0.029297,0.981934,1.220703,1.647949,1.098633,-0.373535,17.336426,-39.023438
2021-03-27 01:57:42,1616810262.333525,0.463425,angle,1,1,1,-0.139160,0.187012,1.151855,-0.488281,-0.427246,2.746582,-0.379028,17.369385,-38.968506
2021-03-27 01:57:42,1616810262.356360,0.486258,angle,1,1,1,-0.255371,0.094727,0.972168,2.624512,-1.831055,1.464844,-0.307617,17.413330,-38.957520
2021-03-27 01:57:42,1616810262.375087,0.504987,angle,1,1,1,-0.235352,0.015625,0.950195,0.305176,-1.098633,1.831055,-0.302124,17.446289,-38.897095
2021-03-27 01:57:42,1616810262.395851,0.525751,angle,1,1,1,-0.203613,0.090332,0.923828,0.183105,1.525879,1.586914,-0.280151,17.495728,-38.913574
2021-03-27 01:57:42,1616810262.414538,0.544438,angle,1,1,1,-0.276855,-0.047363,0.930176,-0.305176,1.831055,-1.892090,-0.285645,17.517700,-38.891602
2021-03-27 01:57:42,1616810262.435368,0.565267,angle,1,1,1,-0.239746,-0.162109,0.981934,0.549316,3.173828,1.831055,-0.241699,17.561646,-38.880615
